Year,Month,Day,Location,Description,Credit
1956,Oct,26,Alphonsus,A suspected partial obscuration of the floor based on differences in detail in infrared and ultraviolet photographs,Alter
1956,Nov,15,Aristarchus,Faint blue radiance,base inner W wall
1956,Nov,16,Aristarchus,Floor: bright bluish tint E of central peak: blue-gray W of central peak,Bartlett
1956,Nov,17,Aristarchus,Tycho,Kepler
1957,Mar,17,Aristarchus,Strong violet glare: E wall bright spot and whole length of E wall. Dark violet in nimbus: pale violet on plateau,Bartlett
1957,Mar,18,Aristarchus,Strong violet glare: E wall bright spot,E wall. Very strong violet hue in nimbus
1957,Jun,11,Aristarchus,Floor: uniform bluish radiance,Bartlett
1957,Jul,11,Aristarchus,Pale violet radiance in crater and on plateau,Bartlett
1957,Aug,18,Aristarchus,Pale blue tint on all walls: floor dazzling white,Bartlett
1957,Oct,11,Aristarchus,Bright blue-violet: E wall bright spot,E
1957,Oct,12,Aristarchus,Bright blue-violet glare: E wall bright spot,E
1957,Oct,12,Aristarchus: 1 hr,Bright flash: then brownish eccentric patch,Dachille and daughter
1957,Oct,13,Aristarchus,Weak violet glare: whole length of E wall,Bartlett
1957,Oct,13,In or near Aristarchus,Bright spot of light (explosion),Haas
1957,Oct,15,Aristarchus,Strong blue-violet glare,whole length of E wall
1957,Oct,16,Aristarchus,Faint blue-gray tint: N,NW
1958,May,1,Aristarchus,Entire sunlit area of floor,bluish
1958,May,4,Aristarchus,Blue-violet glare S side of E wall bright spot: dark violet in nimbus: pale violet on plateau,Bartlett
1958,May,31,Aristarchus,Pale blue-gray floor: violet band E base of central peak,Bartlett
1958,Jun,29,Aristarchus,Floor: very pale bluish tint,Bartlett
1958,Jul,2,Aristarchus,Strong violet glare whole length of E wall,involving E wall bright spot: dark violet
1958,Jul,3,Aristarchus,Bright blue-violet glare: E,NE rim. Dark violet
1958,Aug,2,Aristarchus,Strong violet glare: E wall bright spot,NE wall. Dark violet
1958,Sep,1,Aristarchus,Whole crater filled with pale violet radiance,especially bright on walls. Pale violet N and NE of crater and on plateau
1958,Sep,23,Piton,Became enveloped in an obscuring cloud-like mist,Moore
1958,Oct,16,N of Mare Crisium,Bright spot in dark area of moon,Mayemson
1958,Nov,3,Alphonsus,Reddish glow,followed by effusion of gas
1958,Nov,19,Alphonsus: 30 min,Diffuse cloud over central mountain,Poppendiek
1958,Nov,19,Alpetragius,Portion of shadow in crater vanished,Stein
1958,Nov,19,Alphonsus,Reddish patch close to central peak,Wilkins
1958,Nov,22,Alphonsus,Gray spot,Bartha
1958,Dec,19,Alphonsus,Reddish patch close to central peak,Wilkins
1959,Jan,22,Aristarchus,Interior,light brilliant blue
1959,Jan,23,Aristarchus,Brilliant blue interior,Alter
1959,Feb,18,Alphonsus,Red patch,Hole
1959,Mar,24,Aristarchus,Strong blue and blue-violet glares: E wall,E wall bright spot
1959,Mar,25,Aristarchus,Intense blue-violet glare on whole length of E rim and on E wall bright spot: dark violet hue in nimbus,Bartlett
1959,Apr,19,W of Mare Humorum,Bright point to W of mare,McFarlane
1959,Sep,5,Aristarchus,Irregular,intermittent starlike point of light
1959,Sep,13,Littrow,Obliterated by a hovering cloud (Feist disagrees with Bradford),Bradford
1959,Oct,23,Alphonsus,Red glow seen. Spectrum showed unusual features,Kozyrev
1960,Jan,6,Alphonsus,Red spot,Warner
1961,Feb,15,Aristarchus,Plato,Seen as bright features during solar eclipse (on film of eclipse shown by BBC
1961,May,30,Aristarchus,Enhancement of spectrum in UV,Grainger
1961,Jun,27,Aristarchus,ray near Bessel,Enhancement of spectrum in UV
1961,Jun,29,E of Plato,Enhancement of spectrum in UV,Grainger
1961,Oct,18,Eratosthenes,Bright spot in crater,Bartlett
1961,Nov,26,Aristarchus region,Red glow seen. Anomalous spectra in red and blue,Kozyrev
1961,Nov,28,Aristarchus region,Red glow seen. Anomalous spectra in red and blue,Kozyrev
1961,Dec,3,Aristarchus region,Red glow seen. Anomalous spectra in red and blue,Kozyrev
1962,Sep,5,Region of Walter near terminator: 7 min,Faint point of light,Chalk
1962,Sep,16,Whole moon,Spectrum showed UV emission,particularly in region of H and K lines by comparison with spectra of Sun
1962,Oct,8,Aristarchus: 1 hr,Activity,Adams
1963,Oct,5,Aristarchus region,Enhancement of 30 percent at 5450 A,Scarfe
1963,Oct,30,Aristarchus region,Color changes: reddish-orange to ruby patches,Greenacre
1963,Oct,30,Cobrahead: 7 min,Brightened area,7th to 11th mag
1963,Nov,1,Near Kepler: 20 min,Enhancement of large area in red light,Kopal
1963,Nov,11,Aristarchus,Color changes,Jacobs
1963,Nov,28,Aristarchus,Schroters Valley: 1 hr 15 min,Red spots
1963,Nov,28,Cobrahead: 35 min,Pink spot on W side,Tombaugh
1963,Nov,28,Aristarchus,Anaximander: 1 hr,Red spot in Aristarchus and also on N edge of Anaximander
1963,Dec,28,Aristarchus to Herodotus: 31 min,Extensive red area,9 students at Hiroshima
1963,Dec,29,Aristarchus region: 5 hr,Purplish-blue patch,Doherty and others
1963,Dec,30,NE limb: 20 min,During eclipse,anomalous reddish glow inside umbra (Lunar eclipse)
1964,Feb,25,Cobrahead: 3 min,Aristarchus: 1 min,Red flashes
1964,Mar,16,Aristarchus,Sudden red glow on SW rim,Lecuona
1964,Mar,18,Aristarchus,Flash,Earl and brother
1964,Mar,26,Aristarchus,Floor: blue clay color,Bartlett
1964,Mar,28,Aristarchus,Blue-violet glare,E wall and N wall: E wall bright spot: violet tinge in nimbus
1964,Apr,22,Near Ross D,Bright spot,Cross and others
1964,Apr,26,Region of Censorinus,Surface brightening somewhat similar to Kopal-Rackham (1963,Nov
1964,May,17,Theophilus,Crimson color on W rim,10 mag
1964,May,18,SE of Ross D: 1 hr 5 min,White obscuration moved 20 mph,decreased in extent. Phenomenon repeated. Newtonians 8 f7 and 9 f7 used
1964,May,20,Plato: 10 min,Strong orange-red color on W rim of crater,+ 10 mag
1964,May,26,Aristarchus,Strong blue-violet glare,E wall and E wall bright spot: strong violet tinge in nimbus
1964,May,28,Aristarchus,Blue-violet glare: E wall bright spot,E
1964,Jun,6,Aristarchus area: 50 min,Spur between Aristarchus and Herodotus: red spots (glow) in Schroters Valley,Schmidling
1964,Jun,17,SE of Ross D,Moving bright spot: 2 brief obscurations of part of wall. Newtonian,19 f7
1964,Jun,20,Aristarchus,Nimbus only: dark violet hue,Bartlett
1964,Jun,21,S of Ross D: 2 hr,1 min,Moving dark area. Newtonian 19 f7
1964,Jun,23,Aristarchus,Blue-violet glare,NE rim: strong violet tinge in nimbus
1964,Jun,25,Aristarchus,Very bright during eclipse (direct photograph,lunar eclipse)
1964,Jun,25,Grimaldi,During lunar eclipse,white streak from Grimaldi toward limb
1964,Jun,26,Aristarchus,Dark violet in nimbus: pale violet on plateau. Absent from crater,Bartlett
1964,Jun,27,Aristarchus,Bright blue-violet: E wall bright spot,E
1964,Jun,28,Aristarchus,Blue-violet glare: E wall bright spot,E
1964,Jun,28,S region of Aristarchus,Reddish-brown tone observed,Bartlett
1964,Jul,16,SE of Ross D,Temporary hill,est 3 km diam and shadow seen
1964,Jul,17,Plato,Faint pink bands at base of inner W wall and on rim of N wall,Bartlett
1964,Jul,18,SE of Ross D,Bright area moved and shrank. Extent greater with amber filter,Harris
1964,Jul,18,Plato: some minutes,Pink tinge to W wall,10th mag
1964,Jul,28,Aristarchus,Blue-violet glare: E wall bright spot. Dark violet in nimbus: pale violet on plateau,Bartlett
1964,Jul,29,Aristarchus,Nimbus only: dark violet hue,Bartlett
1964,Jul,31,Aristarchus,Pale blue tint: NE,N
1964,Aug,16,SE of Ross D: 1 hr,2 min,Bright area. Condensations varying with time
1964,Aug,24,Aristarchus,Bright blue-violet: E wall bright spot,E
1964,Aug,25,Aristarchus,Bright blue-violet: E wall bright spot,E
1964,Aug,26,Aristarchus,Blue-violet glare: E wall bright spot,E
1964,Aug,26,Aristarchus: 1 hr,Red and blue bands,Gennatt
1964,Aug,27,Aristarchus,Blue-violet glare: E wall bright spot,E
1964,Aug,28,Aristarchus,Faint blue-violet radiance,E wall bright spot and NE rim. Dark violet in nimbus
1964,Sep,18,Aristarchus,Craterlet,base NW wall: bluish
1964,Sep,20,Aristarchus to Herodotus,Several red spots in area,Crowe
1964,Sep,20,SE of Ross D,Bright obscuration,Cross
1964,Sep,22,Aristarchus,Bright blue-violet glare: E wall bright spot and NE rim. Dark violet in nimbus,Bartlett
1964,Sep,22,Kunowsky: 1 hr,Red area blinked in blinker,Gillheaney
1964,Sep,23,Aristarchus,Blue-violet flare glare?: E wall bright spot,E
1964,Sep,25,Aristarchus,Blue-violet glare: E wall bright spot. Dark violet on nimbus,Bartlett
1964,Sep,25,Aristarchus,Blue-violet glare: E wall bright spot. Dark violet in nimbus: pale violet on plateau,Bartlett
1964,Sep,26,Aristarchus,Moderately intense: E wall bright spot. Dark violet,nimbus
1964,Oct,19,Aristarchus,Strong blue tint E half of floor: blue-violet glare,base E side central peak
1964,Oct,22,Aristarchus,Blue-violet glare,E wall bright spot
1964,Oct,24,Aristarchus,Blue-violet glare: E wall bright spot,E
1964,Oct,25,Aristarchus,Nimbus only: dark violet hue,Bartlett
1964,Oct,25,Aristarchus,Blue-violet glare: E wall bright spot,E
1964,Oct,27,Alphonsus,Reddish-pink patch at base of sunlit central peak,L.Johnson
1964,Nov,14,Plato,Peak on W wall very brilliant white. At foot of peak on inner side,strong blue band. Immediately adjacent
1964,Nov,21,Aristarchus,Bright blue-violet glare: NE,N
1964,Nov,23,Aristarchus,Strong blue-violet glare: N,NE
1964,Nov,24,Aristarchus,Blue-violet glare,N rim. Dark violet in nimbus: pale violet N and NE of crater
1964,Dec,19,Aristarchus: 1 min,Brightened by a factor of 5,Budine
1964,Dec,19,NA,Anomalous bright area during lunar eclipse,S. Hill and student
1964,Dec,19,Edge of Mare Nubium,Photoelectric photometry showed strong anomalous enhancement of radiation during lunar eclipse,Sanduleak
1965,Mar,14,SE of Ross D,Crater wall partially obscured. Bright area. Cassegrain 12,f15
1965,Jul,1,Aristarchus,dark side,Starlike image
1965,Jul,2,Aristarchus: 1 hr 21 min,Bright spot like star on dark side,estimated mag 4
1965,Jul,3,Aristarchus: 1 hr 10 min,Pulsating spot on dark side,Emanuel
1965,Jul,4,Aristarchus: 1 hr,Bright spot,no pulsations
1965,Jul,7,Grimaldi,White streak extended toward limb,Azevado
1965,Jul,8,Theophilus: 10 min,Bright spot,Cross
1965,Jul,9,Aristarchus: 2 hr 6 min,Starlike image,Emanuel
1965,Jul,31,Aristarchus,Starlike image,Welch
1965,Aug,2,Aristarchus: 1 min,Starlike brightening,8th to 9th mag
1965,Aug,3,Aristarchus: 6 min,Starlike image,6th to 7th mag
1965,Aug,4,Aristarchus: 2 min,Starlike image,6th to 7th mag
1965,Sep,3,SE of Ross D,Ridge obscured,Harris
1965,Sep,9,Aristarchus,Orange-red strip on floor,Presson
1965,Oct,10,Aristarchus,Pale violet radiance: whole of W interior: dark violet,nimbus: pale violet on plateau
1965,Oct,11,Aristarchus,Whole crater,exclusive of S area
1965,Oct,12,Aristarchus,Nimbus only: dark violet hue,Bartlett
1965,Oct,13,Aristarchus,Pale,blue-violet tint on E wall bright spot and whole length of E wall: pale violet radiance in crater
1965,Nov,15,Aristarchus,Bright spots,L.Johnson
1965,Dec,1,NA,Reddish glow followed by black obscuration,Evrard and others
1965,Dec,4,Ross D,Obscuration of part of rim,also bright area 7-10 km diameter
1966,Feb,7,Aristarchus,Nimbus only: intense violet hue,Bartlett
1966,Mar,29,Archimedes,Floor bands brilliant,E.G. Hill
1966,Apr,2,Aristarchus: 20 min,Central peak very bright,M. Brown
1966,Apr,3,Aristarchus: 30 min,Central peak very bright,M. Brown
1966,Apr,12,Whippey,B.A.A. Lunar Sec. Circ. 1967,2
1966,Apr,30,Gassendi,Red glows,Sartory
1966,May,1,Aristarchus: 50 min,Red patch,Patterson
1966,May,1,Aristarchus: 15 min,Small intense white spot NW of crater wall,M. Brown
1966,May,27,Alphonsus: 50 min,Faint red patches,Sartory
1966,May,30,Gassendi: 7 min,Blink,orange patch and obscuration
1966,Jun,1,Aristarchus,Entire sunlit area of floor,bluish
1966,Jun,3,Aristarchus,Nimbus only,violet hue
1966,Jun,26,Alphonsus: 10 min,Absorption band (4880 +-50A) seen in spectrum of central peak,Harris
1966,Jun,27,Plato: 15 min,Inside SW wall of crater,blink
1966,Jul,10,Triesnecker: 1 hr,Bright streak in crater,Allen
1966,Aug,4,Plato: 53 min,26 min,Red color
1966,Sep,2,Gassendi: 3 hr,Reddish patches,Moore
1966,Sep,2,Alphonsus: intermittent,1 hr 2 min,A series of weak glows: Final flash observed at     Whippey
1966,Sep,3,Gassendi,Blinks on NE,ENE walls and SW and W of central peak
1966,Sep,25,Gassendi: 30 min,Reddish patches,Moore
1966,Sep,25,Plato: 3 min,Blinks in crater,Moseley
1966,Oct,25,SE of Ross D,Large bright area obscuring half of crater wall. Not present,Oct
1966,Oct,25,Gassendi,Red blinks,N wall
1966,Oct,29,Copernicus,N rim: 45 min,Red spot
1966,Dec,22,Messier (W.H. Pickering): 30 min,Blinks on floors of both craters,Kelsey
1966,Dec,23,Plato: 55 min,Numerous light streaks on floor,three bright spots on floor
1966,Dec,27,Gassendi: 35 min,Very faint blink on SW floor and another N of it on NW floor (observer considers observation very suspect),Kelsey
1967,Jan,21,Gassendi,Small blink and suspect faint colored patch in outer W wall in position of original observation of 1966,Apr
1967,Feb,17,Alphonsus: 25 min,Blink just inside the SW floor of crater suspected on elevation NW of dark patch,Moore
1967,Feb,19,Moseley,Moore,B.A.A. Lunar Sec. Circ. 1967
1967,Mar,22,Gassendi,Red color and blink,Moseley
1967,Mar,23,Gassendi,Red color under S wall,Sartory
1967,Mar,23,Cobrahead,Red color outside SE wall,Moore
1967,Mar,23,Aristarchus,Red glows,Sartory
1967,Apr,15,Aristarchus (on dark side): 1 hr 45 min,Aristarchus very bright. Seeing very good until 21h00m UT,after which seeing too bad to continue observing. On
1967,Apr,21,Aristarchus: 1 hr 59 min,Bright points on S wall. Red patch to NE,Darnell
1967,Apr,21,Schroters Valley,Cobrahead,Red color
1967,Apr,22,Aristarchus (on bright side),Aristarchus so bright that it could be seen with the naked eye,Classen
1967,May,20,Aristarchus: 15 min,Red spots on south rim. Moon low,Darnell
1967,May,20,Gassendi,Elongated blink in crater,SW part of floor
1967,May,29,Aristarchus: 45 min,Red-brown color,C.A. Anderson
1967,Jun,18,Gassendi: 1 hr 20 min and 1 hr 9 min,Faint redness outside the NW and SW wall of Gassendi,Whippey
1967,Aug,13,Alphonsus: 15 min,Glow in interior of crater,Horowitz
1967,Sep,11,Mare Tranquilitaties: 8-9 sec,Black cloud surrounded by violet color,Montreal group
1967,Sep,11,Sabine,Bright yellow flash visible a fraction of a second,Mrs P.Jean and Montreal group
1967,Sep,17,Aristarchus,Red color observed,Delano
1967,Oct,10,SE of Ross D,Bright area moved 80 kmhr toward SSE and expanded as contrast reduced,Harris
1967,Oct,19,Kepler,Aristarchus,High moon
